0, 0.1, 39216.1219082, 1911.38102621, 223.887166023
1, 0.1, 10871.6465822, 1155.58219286, 208.51886797
2, 0.1, 6536.17726726, 938.753198534, 206.654018164
3, 0.1, 4275.74557462, 874.893701716, 199.309422016
4, 0.1, 3289.3274948, 885.802441446, 212.601449966
5, 0.1, 2797.63546043, 960.005767408, 212.520571947
6, 0.1, 2186.40018222, 940.500230879, 226.361892939
7, 0.1, 1773.62081274, 1054.60381467, 202.312298059
8, 0.1, 1463.1796964, 1000.56400604, 209.772071123
9, 0.1, 1242.5605882, 988.592754384, 211.139846802
10, 0.1, 1105.67642428, 1139.07463044, 206.437566042
11, 0.1, 928.091531745, 1193.46331863, 204.94467783
12, 0.1, 1072.83150665, 1117.80583508, 207.74003005
13, 0.1, 789.011136172, 1181.46685674, 205.110602856
14, 0.1, 810.589541633, 1105.06490444, 210.933176994
15, 0.05, 475.086953875, 1078.65096231, 221.754139185
16, 0.05, 259.439606417, 1114.61463624, 209.223594904
17, 0.05, 271.601872899, 1086.17948551, 215.637576818
18, 0.05, 153.716027381, 1062.93622513, 207.761118889
19, 0.05, 222.317465896, 1079.68116978, 209.159641027
